modality,classifier,noise_level,accuracy
knock,LR,0.000,0.4733
knock,GNB,0.000,1.0000
knock,LR,0.033,0.5650
knock,GNB,0.033,1.0000
knock,LR,0.067,0.7150
knock,GNB,0.067,1.0000
knock,LR,0.100,0.7083
knock,GNB,0.100,1.0000
knock,LR,0.133,0.4067
knock,GNB,0.133,1.0000
knock,LR,0.167,0.4950
knock,GNB,0.167,1.0000
knock,LR,0.200,0.6583
knock,GNB,0.200,1.0000
knock,LR,0.233,0.5883
knock,GNB,0.233,1.0000
knock,LR,0.267,0.6700
knock,GNB,0.267,1.0000
knock,LR,0.300,0.2617
knock,GNB,0.300,1.0000
touch,LR,0.000,1.0000
touch,GNB,0.000,1.0000
touch,LR,0.033,1.0000
touch,GNB,0.033,1.0000
touch,LR,0.067,1.0000
touch,GNB,0.067,1.0000
touch,LR,0.100,1.0000
touch,GNB,0.100,1.0000
touch,LR,0.133,1.0000
touch,GNB,0.133,1.0000
touch,LR,0.167,1.0000
touch,GNB,0.167,1.0000
touch,LR,0.200,1.0000
touch,GNB,0.200,1.0000
touch,LR,0.233,1.0000
touch,GNB,0.233,1.0000
touch,LR,0.267,1.0000
touch,GNB,0.267,1.0000
touch,LR,0.300,1.0000
touch,GNB,0.300,1.0000
gesture,LR,0.000,1.0000
gesture,GNB,0.000,1.0000
gesture,LR,0.033,1.0000
gesture,GNB,0.033,1.0000
gesture,LR,0.067,1.0000
gesture,GNB,0.067,1.0000
gesture,LR,0.100,1.0000
gesture,GNB,0.100,1.0000
gesture,LR,0.133,1.0000
gesture,GNB,0.133,1.0000
gesture,LR,0.167,1.0000
gesture,GNB,0.167,1.0000
gesture,LR,0.200,1.0000
gesture,GNB,0.200,1.0000
gesture,LR,0.233,1.0000
gesture,GNB,0.233,1.0000
gesture,LR,0.267,0.9950
gesture,GNB,0.267,1.0000
gesture,LR,0.300,1.0000
gesture,GNB,0.300,1.0000
