n,scheme,trial,latency_us
128,hybrid,0,45
128,hash_only,0,1
128,lattice_only,0,43
128,hybrid,1,46
128,hash_only,1,1
128,lattice_only,1,41
128,hybrid,2,45
128,hash_only,2,1
128,lattice_only,2,43
128,hybrid,3,41
128,hash_only,3,1
128,lattice_only,3,42
128,hybrid,4,46
128,hash_only,4,1
128,lattice_only,4,43
128,hybrid,5,44
128,hash_only,5,1
128,lattice_only,5,43
128,hybrid,6,45
128,hash_only,6,1
128,lattice_only,6,43
128,hybrid,7,108
128,hash_only,7,1
128,lattice_only,7,44
128,hybrid,8,45
128,hash_only,8,1
128,lattice_only,8,43
128,hybrid,9,47
128,hash_only,9,1
128,lattice_only,9,42
128,hybrid,10,47
128,hash_only,10,1
128,lattice_only,10,42
128,hybrid,11,44
128,hash_only,11,1
128,lattice_only,11,41
128,hybrid,12,44
128,hash_only,12,1
128,lattice_only,12,41
128,hybrid,13,46
128,hash_only,13,1
128,lattice_only,13,50
128,hybrid,14,55
128,hash_only,14,1
128,lattice_only,14,50
128,hybrid,15,44
128,hash_only,15,1
128,lattice_only,15,41
128,hybrid,16,45
128,hash_only,16,1
128,lattice_only,16,68
128,hybrid,17,47
128,hash_only,17,1
128,lattice_only,17,43
128,hybrid,18,47
128,hash_only,18,1
128,lattice_only,18,41
128,hybrid,19,45
128,hash_only,19,1
128,lattice_only,19,41
128,hybrid,20,44
128,hash_only,20,1
128,lattice_only,20,43
128,hybrid,21,44
128,hash_only,21,1
128,lattice_only,21,43
128,hybrid,22,46
128,hash_only,22,1
128,lattice_only,22,43
128,hybrid,23,51
128,hash_only,23,1
128,lattice_only,23,42
128,hybrid,24,45
128,hash_only,24,1
128,lattice_only,24,41
128,hybrid,25,46
128,hash_only,25,1
128,lattice_only,25,42
128,hybrid,26,47
128,hash_only,26,1
128,lattice_only,26,43
128,hybrid,27,45
128,hash_only,27,1
128,lattice_only,27,42
128,hybrid,28,45
128,hash_only,28,1
128,lattice_only,28,43
128,hybrid,29,45
128,hash_only,29,1
128,lattice_only,29,42
128,hybrid,30,46
128,hash_only,30,1
128,lattice_only,30,42
128,hybrid,31,57
128,hash_only,31,2
128,lattice_only,31,44
128,hybrid,32,45
128,hash_only,32,1
128,lattice_only,32,43
128,hybrid,33,70
128,hash_only,33,1
128,lattice_only,33,44
128,hybrid,34,45
128,hash_only,34,1
128,lattice_only,34,43
128,hybrid,35,46
128,hash_only,35,1
128,lattice_only,35,41
128,hybrid,36,46
128,hash_only,36,1
128,lattice_only,36,41
128,hybrid,37,45
128,hash_only,37,1
128,lattice_only,37,43
128,hybrid,38,44
128,hash_only,38,1
128,lattice_only,38,43
128,hybrid,39,45
128,hash_only,39,1
128,lattice_only,39,84
128,hybrid,40,47
128,hash_only,40,1
128,lattice_only,40,43
128,hybrid,41,67
128,hash_only,41,1
128,lattice_only,41,44
128,hybrid,42,45
128,hash_only,42,1
128,lattice_only,42,41
128,hybrid,43,45
128,hash_only,43,1
128,lattice_only,43,42
128,hybrid,44,46
128,hash_only,44,1
128,lattice_only,44,43
128,hybrid,45,45
128,hash_only,45,1
128,lattice_only,45,43
128,hybrid,46,44
128,hash_only,46,1
128,lattice_only,46,43
128,hybrid,47,45
128,hash_only,47,1
128,lattice_only,47,46
128,hybrid,48,45
128,hash_only,48,1
128,lattice_only,48,41
128,hybrid,49,45
128,hash_only,49,1
128,lattice_only,49,43
128,hybrid,50,45
128,hash_only,50,1
128,lattice_only,50,43
128,hybrid,51,45
128,hash_only,51,1
128,lattice_only,51,41
128,hybrid,52,45
128,hash_only,52,1
128,lattice_only,52,43
128,hybrid,53,44
128,hash_only,53,1
128,lattice_only,53,43
128,hybrid,54,45
128,hash_only,54,1
128,lattice_only,54,41
128,hybrid,55,44
128,hash_only,55,1
128,lattice_only,55,42
128,hybrid,56,51
128,hash_only,56,1
128,lattice_only,56,41
128,hybrid,57,45
128,hash_only,57,1
128,lattice_only,57,41
128,hybrid,58,46
128,hash_only,58,1
128,lattice_only,58,48
128,hybrid,59,45
128,hash_only,59,1
128,lattice_only,59,42
128,hybrid,60,47
128,hash_only,60,1
128,lattice_only,60,42
128,hybrid,61,42
128,hash_only,61,1
128,lattice_only,61,43
128,hybrid,62,45
128,hash_only,62,1
128,lattice_only,62,43
128,hybrid,63,45
128,hash_only,63,1
128,lattice_only,63,42
128,hybrid,64,45
128,hash_only,64,1
128,lattice_only,64,48
128,hybrid,65,46
128,hash_only,65,1
128,lattice_only,65,42
128,hybrid,66,68
128,hash_only,66,1
128,lattice_only,66,42
128,hybrid,67,45
128,hash_only,67,1
128,lattice_only,67,42
128,hybrid,68,45
128,hash_only,68,1
128,lattice_only,68,43
128,hybrid,69,46
128,hash_only,69,1
128,lattice_only,69,43
128,hybrid,70,44
128,hash_only,70,1
128,lattice_only,70,43
128,hybrid,71,45
128,hash_only,71,1
128,lattice_only,71,41
128,hybrid,72,46
128,hash_only,72,1
128,lattice_only,72,105
128,hybrid,73,46
128,hash_only,73,1
128,lattice_only,73,42
128,hybrid,74,70
128,hash_only,74,1
128,lattice_only,74,43
128,hybrid,75,45
128,hash_only,75,1
128,lattice_only,75,42
128,hybrid,76,45
128,hash_only,76,1
128,lattice_only,76,43
128,hybrid,77,44
128,hash_only,77,1
128,lattice_only,77,43
128,hybrid,78,45
128,hash_only,78,1
128,lattice_only,78,43
