n,q,sigma,scheme,trial,latency_us
512,3329,1,hybrid,0,526
512,3329,1,lattice_only,0,526
512,3329,1,hybrid,1,494
512,3329,1,lattice_only,1,515
512,3329,1,hybrid,2,555
512,3329,1,lattice_only,2,513
512,3329,1,hybrid,3,498
512,3329,1,lattice_only,3,505
512,3329,1,hybrid,4,501
512,3329,1,lattice_only,4,505
512,3329,1,hybrid,5,498
512,3329,1,lattice_only,5,546
512,3329,1,hybrid,6,529
512,3329,1,lattice_only,6,480
512,3329,1,hybrid,7,526
512,3329,1,lattice_only,7,480
512,3329,1,hybrid,8,522
512,3329,1,lattice_only,8,480
512,3329,1,hybrid,9,523
512,3329,1,lattice_only,9,527
512,3329,1,hybrid,10,528
512,3329,1,lattice_only,10,486
512,3329,1,hybrid,11,516
512,3329,1,lattice_only,11,485
512,3329,1,hybrid,12,516
512,3329,1,lattice_only,12,504
512,3329,1,hybrid,13,574
512,3329,1,lattice_only,13,491
512,3329,1,hybrid,14,520
512,3329,1,lattice_only,14,600
512,3329,1,hybrid,15,495
512,3329,1,lattice_only,15,515
512,3329,1,hybrid,16,492
512,3329,1,lattice_only,16,524
512,3329,1,hybrid,17,542
512,3329,1,lattice_only,17,510
512,3329,1,hybrid,18,499
512,3329,1,lattice_only,18,508
512,3329,1,hybrid,19,497
512,3329,1,lattice_only,19,511
512,3329,1,hybrid,20,499
512,3329,1,lattice_only,20,558
512,3329,1,hybrid,21,533
512,3329,1,lattice_only,21,481
512,3329,1,hybrid,22,522
512,3329,1,lattice_only,22,480
512,3329,1,hybrid,23,529
512,3329,1,lattice_only,23,480
512,3329,1,hybrid,24,583
512,3329,1,lattice_only,24,530
512,3329,1,hybrid,25,524
512,3329,1,lattice_only,25,486
512,3329,1,hybrid,26,520
512,3329,1,lattice_only,26,486
512,3329,1,hybrid,27,521
512,3329,1,lattice_only,27,485
512,3329,1,hybrid,28,556
512,3329,1,lattice_only,28,486
512,3329,1,hybrid,29,522
512,3329,1,lattice_only,29,512
512,3329,1,hybrid,30,492
512,3329,1,lattice_only,30,509
512,3329,1,hybrid,31,492
512,3329,1,lattice_only,31,513
512,3329,1,hybrid,32,560
512,3329,1,lattice_only,32,519
512,3329,1,hybrid,33,492
512,3329,1,lattice_only,33,506
512,3329,1,hybrid,34,498
512,3329,1,lattice_only,34,503
512,3329,1,hybrid,35,514
512,3329,1,lattice_only,35,550
