msg_len,scheme,trial,latency_us
32,hybrid,0,608
32,hash_only,0,2
32,hybrid,1,576
32,hash_only,1,1
32,hybrid,2,530
32,hash_only,2,1
32,hybrid,3,673
32,hash_only,3,2
32,hybrid,4,608
32,hash_only,4,1
32,hybrid,5,546
32,hash_only,5,1
32,hybrid,6,560
32,hash_only,6,2
32,hybrid,7,538
32,hash_only,7,1
32,hybrid,8,576
32,hash_only,8,1
32,hybrid,9,586
32,hash_only,9,1
32,hybrid,10,563
32,hash_only,10,1
32,hybrid,11,558
32,hash_only,11,2
32,hybrid,12,532
32,hash_only,12,1
32,hybrid,13,557
32,hash_only,13,1
32,hybrid,14,557
32,hash_only,14,1
32,hybrid,15,552
32,hash_only,15,1
32,hybrid,16,610
32,hash_only,16,2
32,hybrid,17,550
32,hash_only,17,1
32,hybrid,18,562
32,hash_only,18,2
32,hybrid,19,533
32,hash_only,19,1
32,hybrid,20,551
32,hash_only,20,2
32,hybrid,21,539
32,hash_only,21,1
32,hybrid,22,579
32,hash_only,22,2
32,hybrid,23,616
32,hash_only,23,2
32,hybrid,24,526
32,hash_only,24,1
32,hybrid,25,580
32,hash_only,25,1
32,hybrid,26,541
32,hash_only,26,1
32,hybrid,27,556
32,hash_only,27,1
32,hybrid,28,531
32,hash_only,28,1
32,hybrid,29,551
32,hash_only,29,1
32,hybrid,30,595
32,hash_only,30,1
32,hybrid,31,573
32,hash_only,31,1
32,hybrid,32,563
32,hash_only,32,1
32,hybrid,33,536
32,hash_only,33,1
32,hybrid,34,556
32,hash_only,34,1
32,hybrid,35,557
32,hash_only,35,1
32,hybrid,36,526
32,hash_only,36,1
32,hybrid,37,607
32,hash_only,37,1
32,hybrid,38,533
32,hash_only,38,1
32,hybrid,39,556
32,hash_only,39,1
32,hybrid,40,551
32,hash_only,40,1
32,hybrid,41,565
32,hash_only,41,1
32,hybrid,42,574
32,hash_only,42,2
32,hybrid,43,533
32,hash_only,43,1
32,hybrid,44,604
32,hash_only,44,1
32,hybrid,45,540
32,hash_only,45,2
32,hybrid,46,603
32,hash_only,46,1
32,hybrid,47,599
32,hash_only,47,2
32,hybrid,48,527
32,hash_only,48,1
32,hybrid,49,569
32,hash_only,49,1
32,hybrid,50,596
32,hash_only,50,1
32,hybrid,51,567
32,hash_only,51,1
32,hybrid,52,583
32,hash_only,52,2
32,hybrid,53,540
32,hash_only,53,1
32,hybrid,54,565
32,hash_only,54,1
32,hybrid,55,537
32,hash_only,55,1
32,hybrid,56,552
32,hash_only,56,1
32,hybrid,57,647
32,hash_only,57,2
32,hybrid,58,528
32,hash_only,58,1
32,hybrid,59,569
32,hash_only,59,1
32,hybrid,60,574
32,hash_only,60,1
32,hybrid,61,569
32,hash_only,61,1
32,hybrid,62,549
32,hash_only,62,1
32,hybrid,63,552
32,hash_only,63,2
32,hybrid,64,610
32,hash_only,64,2
32,hybrid,65,558
32,hash_only,65,1
32,hybrid,66,574
32,hash_only,66,1
32,hybrid,67,532
32,hash_only,67,1
32,hybrid,68,574
32,hash_only,68,1
32,hybrid,69,563
32,hash_only,69,1
32,hybrid,70,539
32,hash_only,70,1
32,hybrid,71,598
32,hash_only,71,1
32,hybrid,72,549
32,hash_only,72,1
32,hybrid,73,552
32,hash_only,73,1
32,hybrid,74,546
32,hash_only,74,1
32,hybrid,75,574
32,hash_only,75,1
32,hybrid,76,572
32,hash_only,76,1
32,hybrid,77,562
32,hash_only,77,1
32,hybrid,78,593
32,hash_only,78,1
32,hybrid,79,534
32,hash_only,79,1
32,hybrid,80,551
32,hash_only,80,2
32,hybrid,81,584
32,hash_only,81,1
32,hybrid,82,539
32,hash_only,82,1
32,hybrid,83,767
32,hash_only,83,2
32,hybrid,84,625
32,hash_only,84,2
32,hybrid,85,534
32,hash_only,85,1
32,hybrid,86,559
32,hash_only,86,1
32,hybrid,87,534
32,hash_only,87,1
32,hybrid,88,552
32,hash_only,88,1
32,hybrid,89,550
32,hash_only,89,1
32,hybrid,90,554
32,hash_only,90,1
32,hybrid,91,610
32,hash_only,91,2
32,hybrid,92,560
32,hash_only,92,1
32,hybrid,93,551
32,hash_only,93,2
32,hybrid,94,565
32,hash_only,94,1
32,hybrid,95,578
32,hash_only,95,1
32,hybrid,96,580
32,hash_only,96,1
32,hybrid,97,526
32,hash_only,97,1
32,hybrid,98,625
32,hash_only,98,1
32,hybrid,99,535
32,hash_only,99,1
32,hybrid,100,552
32,hash_only,100,1
32,hybrid,101,533
32,hash_only,101,1
32,hybrid,102,563
32,hash_only,102,1
32,hybrid,103,573
32,hash_only,103,2
32,hybrid,104,527
32,hash_only,104,1
32,hybrid,105,590
32,hash_only,105,1
32,hybrid,106,533
32,hash_only,106,1
32,hybrid,107,554
32,hash_only,107,2
32,hybrid,108,559
32,hash_only,108,1
32,hybrid,109,550
32,hash_only,109,1
32,hybrid,110,600
32,hash_only,110,1
32,hybrid,111,553
32,hash_only,111,1
32,hybrid,112,616
32,hash_only,112,1
32,hybrid,113,585
32,hash_only,113,1
