n,scheme,target_rate,latency_us,breached
128,hybrid,100,52,0
128,hybrid,100,52,0
128,hybrid,100,53,0
128,hybrid,100,53,0
128,hybrid,100,51,0
128,hybrid,100,51,0
128,hybrid,100,54,0
128,hybrid,100,49,0
128,hybrid,100,49,0
128,hybrid,100,53,0
128,hybrid,100,52,0
128,hybrid,100,53,0
128,hybrid,100,53,0
128,hybrid,100,52,0
128,hybrid,100,50,0
128,hybrid,100,51,0
128,hybrid,100,52,0
128,hybrid,100,52,0
128,hybrid,100,52,0
128,hybrid,100,51,0
128,hybrid,100,52,0
128,hybrid,500,46,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,51,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,51,0
128,hybrid,500,50,0
128,hybrid,500,50,0
128,hybrid,500,51,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,47,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,48,0
128,hybrid,500,50,0
128,hybrid,500,51,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,50,0
128,hybrid,500,50,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,47,0
128,hybrid,500,49,0
128,hybrid,500,51,0
128,hybrid,500,50,0
128,hybrid,500,50,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,51,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,48,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,51,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,500,48,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,48,0
128,hybrid,500,50,0
128,hybrid,500,49,0
128,hybrid,500,50,0
128,hybrid,500,48,0
128,hybrid,500,49,0
128,hybrid,500,49,0
128,hybrid,1000,44,0
128,hybrid,1000,49,0
128,hybrid,1000,48,0
128,hybrid,1000,49,0
128,hybrid,1000,48,0
128,hybrid,1000,50,0
128,hybrid,1000,49,0
128,hybrid,1000,48,0
128,hybrid,1000,47,0
128,hybrid,1000,48,0
128,hybrid,1000,48,0
128,hybrid,1000,48,0
128,hybrid,1000,49,0
128,hybrid,1000,49,0
128,hybrid,1000,48,0
128,hybrid,1000,50,0
128,hybrid,1000,49,0
128,hybrid,1000,47,0
128,hybrid,1000,49,0
128,hybrid,1000,50,0
128,hybrid,1000,49,0
128,hybrid,1000,48,0
128,hybrid,1000,48,0
128,hybrid,1000,50,0
