n,rounds,trial,prove_us,verify_us
128,1,0,30,23
128,1,1,28,24
128,1,2,28,23
128,1,3,27,22
128,1,4,29,23
128,1,5,27,23
128,1,6,27,22
128,1,7,34,22
128,1,8,58,22
128,1,9,27,22
128,1,10,27,23
128,1,11,27,22
128,1,12,27,22
128,1,13,27,23
128,1,14,27,23
128,1,15,27,22
128,1,16,27,22
128,1,17,27,23
128,1,18,27,23
128,1,19,28,22
128,1,20,27,22
128,1,21,27,22
128,1,22,27,22
128,1,23,27,22
128,1,24,27,22
128,1,25,25,22
128,1,26,27,21
128,1,27,27,23
128,1,28,27,22
128,1,29,27,22
128,1,30,28,22
128,1,31,27,23
128,1,32,27,23
128,1,33,27,23
128,1,34,26,21
128,1,35,27,23
128,1,36,27,138
128,1,37,28,23
128,1,38,33,22
128,1,39,51,22
128,1,40,27,23
128,1,41,27,24
128,1,42,27,21
128,1,43,27,21
128,1,44,27,21
128,1,45,27,22
128,1,46,26,21
128,1,47,27,23
128,1,48,27,21
128,1,49,27,21
128,1,50,28,23
128,1,51,27,22
128,1,52,27,22
128,1,53,27,23
128,1,54,27,22
128,1,55,27,23
128,1,56,27,23
128,1,57,27,23
128,1,58,27,22
128,1,59,27,23
128,1,60,27,21
128,1,61,28,22
128,1,62,28,22
128,1,63,27,22
128,1,64,27,22
128,1,65,27,23
128,1,66,27,22
128,1,67,27,22
128,1,68,27,22
128,1,69,26,23
128,1,70,33,22
128,1,71,58,23
128,1,72,27,22
128,1,73,28,22
128,1,74,28,23
128,1,75,27,22
128,1,76,27,23
128,1,77,27,23
128,1,78,28,23
128,1,79,27,23
128,1,80,32,22
128,1,81,55,24
128,1,82,27,22
128,1,83,27,22
128,1,84,27,22
128,1,85,27,23
128,1,86,27,22
128,1,87,27,22
128,1,88,27,22
128,1,89,27,23
128,1,90,27,23
128,1,91,27,23
128,1,92,28,23
128,1,93,27,22
128,1,94,27,22
128,1,95,27,22
128,1,96,27,22
128,1,97,27,22
128,1,98,27,22
128,1,99,27,21
128,2,0,55,44
128,2,1,54,70
128,2,2,55,43
128,2,3,54,46
128,2,4,54,44
128,2,5,54,43
128,2,6,54,43
128,2,7,54,43
128,2,8,55,67
128,2,9,55,45
128,2,10,55,43
128,2,11,54,43
128,2,12,53,44
128,2,13,56,44
128,2,14,55,50
128,2,15,78,44
128,2,16,55,43
128,2,17,54,43
128,2,18,55,43
128,2,19,54,43
128,2,20,54,45
128,2,21,60,43
128,2,22,85,44
128,2,23,55,46
128,2,24,54,43
128,2,25,55,43
128,2,26,54,44
128,2,27,54,43
128,2,28,60,50
128,2,29,56,44
128,2,30,55,46
128,2,31,53,45
128,2,32,54,45
128,2,33,54,46
128,2,34,54,44
128,2,35,60,43
128,2,36,55,44
128,2,37,54,47
128,2,38,54,46
128,2,39,54,46
128,2,40,104,44
128,2,41,55,49
128,2,42,77,45
128,2,43,55,44
128,2,44,54,43
128,2,45,54,57
128,2,46,54,43
128,2,47,54,44
128,2,48,54,54
128,2,49,77,45
128,2,50,55,45
128,2,51,55,43
128,2,52,54,43
128,2,53,53,46
128,2,54,54,43
128,2,55,54,48
128,2,56,77,44
128,2,57,55,46
128,2,58,54,45
128,2,59,54,44
128,2,60,54,43
128,2,61,54,45
128,2,62,59,43
128,2,63,77,45
128,2,64,55,43
128,2,65,54,43
128,2,66,54,45
128,2,67,54,80
128,2,68,55,43
128,2,69,60,43
128,2,70,55,44
128,2,71,55,44
128,2,72,53,46
128,2,73,54,45
128,2,74,54,43
128,2,75,53,43
128,2,76,60,66
128,2,77,56,44
128,2,78,55,46
128,2,79,54,44
128,2,80,54,45
128,2,81,54,45
128,2,82,54,43
128,2,83,53,66
128,2,84,56,46
128,2,85,55,45
128,2,86,54,46
128,2,87,54,45
128,2,88,54,46
128,2,89,54,44
128,2,90,54,68
128,2,91,56,45
128,2,92,54,44
128,2,93,54,44
128,2,94,54,43
128,2,95,56,44
128,2,96,55,49
128,2,97,76,46
128,2,98,55,44
128,2,99,54,43
128,3,0,82,65
128,3,1,80,66
128,3,2,82,71
128,3,3,105,67
128,3,4,82,70
128,3,5,79,64
128,3,6,81,66
128,3,7,81,70
128,3,8,106,67
128,3,9,81,67
128,3,10,113,67
128,3,11,82,68
128,3,12,81,71
128,3,13,114,67
128,3,14,82,67
128,3,15,82,64
128,3,16,120,66
128,3,17,83,70
128,3,18,83,66
128,3,19,81,67
128,3,20,82,66
128,3,21,86,67
128,3,22,81,70
128,3,23,104,66
128,3,24,82,65
128,3,25,82,68
128,3,26,80,67
128,3,27,81,71
128,3,28,105,66
128,3,29,82,65
128,3,30,82,65
128,3,31,81,64
128,3,32,81,66
128,3,33,104,67
128,3,34,82,66
128,3,35,81,65
128,3,36,81,101
128,3,37,83,72
128,3,38,105,67
128,3,39,81,65
128,3,40,82,67
128,3,41,81,65
128,3,42,82,68
128,3,43,106,67
128,3,44,83,66
128,3,45,82,64
128,3,46,81,66
128,3,47,81,64
128,3,48,86,89
128,3,49,82,67
128,3,50,81,67
128,3,51,81,67
128,3,52,81,66
128,3,53,87,86
128,3,54,83,65
128,3,55,82,67
128,3,56,82,65
128,3,57,84,70
128,3,58,87,87
128,3,59,82,65
128,3,60,81,67
128,3,61,82,69
128,3,62,81,64
128,3,63,86,87
128,3,64,83,67
128,3,65,81,67
128,3,66,81,67
128,3,67,81,64
128,3,68,87,64
128,3,69,82,65
128,3,70,81,66
128,3,71,82,65
128,3,72,81,65
128,3,73,86,66
128,3,74,83,67
128,3,75,82,65
128,3,76,81,64
128,3,77,141,67
128,3,78,87,88
128,3,79,82,66
128,3,80,82,66
128,3,81,81,67
128,3,82,82,65
128,3,83,86,87
128,3,84,83,68
128,3,85,82,65
128,3,86,82,65
128,3,87,81,65
128,3,88,87,66
128,3,89,84,66
128,3,90,82,65
128,3,91,81,66
128,3,92,81,65
128,3,93,81,70
128,3,94,105,66
128,3,95,82,66
128,3,96,82,68
128,3,97,115,66
128,3,98,82,74
128,3,99,83,66
128,5,0,139,111
128,5,1,134,115
128,5,2,140,130
128,5,3,137,112
128,5,4,134,110
128,5,5,135,115
128,5,6,160,111
128,5,7,136,112
128,5,8,136,111
128,5,9,163,112
128,5,10,137,109
128,5,11,136,142
128,5,12,143,132
128,5,13,137,110
128,5,14,143,114
128,5,15,135,122
128,5,16,137,110
128,5,17,136,108
128,5,18,136,110
128,5,19,161,114
128,5,20,135,107
128,5,21,134,113
128,5,22,140,130
128,5,23,137,112
128,5,24,135,141
128,5,25,137,152
128,5,26,137,111
128,5,27,135,114
128,5,28,136,118
128,5,29,158,113
128,5,30,137,115
128,5,31,136,113
128,5,32,141,130
128,5,33,146,108
128,5,34,135,111
128,5,35,136,115
128,5,36,136,112
128,5,37,135,111
128,5,38,171,119
128,5,39,159,108
128,5,40,137,122
128,5,41,136,112
128,5,42,173,113
128,5,43,137,110
128,5,44,135,114
128,5,45,139,132
128,5,46,136,112
128,5,47,135,111
128,5,48,135,116
128,5,49,158,110
128,5,50,135,111
128,5,51,172,115
128,5,52,159,113
128,5,53,135,110
128,5,54,136,108
128,5,55,139,132
128,5,56,137,109
128,5,57,135,112
128,5,58,135,117
128,5,59,159,111
128,5,60,135,111
128,5,61,135,112
128,5,62,162,110
128,5,63,136,110
128,5,64,135,146
128,5,65,142,133
128,5,66,139,111
128,5,67,134,112
128,5,68,135,113
128,5,69,160,111
128,5,70,135,107
128,5,71,135,112
128,5,72,162,110
128,5,73,136,108
128,5,74,136,107
128,5,75,140,136
128,5,76,137,113
128,5,77,136,114
128,5,78,137,113
128,5,79,137,109
128,5,80,136,112
128,5,81,136,113
128,5,82,163,111
128,5,83,136,113
128,5,84,136,108
128,5,85,141,132
128,5,86,136,109
128,5,87,135,111
128,5,88,136,117
128,5,89,161,112
128,5,90,136,109
128,5,91,182,112
128,5,92,161,112
128,5,93,135,108
128,5,94,136,111
128,5,95,140,135
128,5,96,136,110
128,5,97,136,107
128,5,98,135,117
128,5,99,137,111
128,7,0,188,154
128,7,1,190,186
128,7,2,190,154
128,7,3,252,161
128,7,4,214,159
128,7,5,201,152
128,7,6,194,173
128,7,7,191,151
128,7,8,189,158
128,7,9,213,155
128,7,10,189,155
128,7,11,196,183
128,7,12,191,150
128,7,13,231,159
128,7,14,191,159
128,7,15,190,151
128,7,16,216,153
128,7,17,191,154
128,7,18,191,159
128,7,19,217,157
128,7,20,190,152
128,7,21,194,181
128,7,22,190,357
128,7,23,231,154
128,7,24,198,154
128,7,25,197,177
128,7,26,194,155
128,7,27,193,162
128,7,28,218,159
128,7,29,197,163
128,7,30,226,183
128,7,31,196,159
128,7,32,338,213
128,7,33,196,159
128,7,34,203,172
128,7,35,194,159
128,7,36,194,165
128,7,37,220,157
128,7,38,193,160
128,7,39,196,177
128,7,40,194,158
128,7,41,239,163
128,7,42,223,155
128,7,43,190,158
128,7,44,195,176
128,7,45,191,153
128,7,46,189,163
128,7,47,214,159
128,7,48,199,153
128,7,49,196,178
128,7,50,190,152
128,7,51,233,156
128,7,52,214,158
128,7,53,206,163
128,7,54,218,159
128,7,55,196,163
128,7,56,198,153
128,7,57,193,152
128,7,58,190,156
128,7,59,212,154
128,7,60,196,153
128,7,61,232,186
128,7,62,191,157
128,7,63,194,157
128,7,64,220,167
128,7,65,191,151
128,7,66,199,177
128,7,67,191,155
128,7,68,191,162
128,7,69,217,162
128,7,70,189,189
128,7,71,191,183
128,7,72,195,155
128,7,73,197,153
128,7,74,214,157
128,7,75,190,154
128,7,76,190,182
128,7,77,193,156
128,7,78,195,160
128,7,79,219,159
128,7,80,190,198
128,7,81,217,160
128,7,82,190,159
128,7,83,205,177
128,7,84,199,153
128,7,85,194,165
128,7,86,216,156
128,7,87,189,152
128,7,88,196,180
128,7,89,189,160
128,7,90,249,163
128,7,91,214,157
128,7,92,189,149
128,7,93,195,186
128,7,94,190,156
128,7,95,189,199
128,7,96,216,160
128,7,97,191,154
128,7,98,191,174
