n,scheme,mean_latency_ms,ops_per_sec
128,hash_only,0.013172463,75915.94677472238
128,lattice_only,0.052868356,18914.906300472063
128,hybrid,0.06556013,15253.172926899322
256,hash_only,0.025752998,38830.430538611465
256,lattice_only,0.1859322475,5378.303190789968
256,hybrid,0.2160147045,4629.314482616623
512,hash_only,0.050050691,19979.744135800243
512,lattice_only,0.7015978355,1425.31796622112
512,hybrid,0.7559353504999999,1322.8644477845464
768,hash_only,0.071229058,14039.214164533807
768,lattice_only,0.3498663725,2858.234110510292
768,hybrid,0.560488562,1784.1577291634367
1024,hash_only,0.0960810325,10407.88149315527
1024,lattice_only,0.529692904,1887.886344046625
1024,hybrid,0.6500907035,1538.2468855747911
