rounds,n,prove_ms,verify_ms,proof_size
1,256,0.116592578,0.1200443140000001,6144
2,256,0.22041586800000007,0.2397967720000001,12288
3,256,0.3233927699999999,0.3600684139999998,18432
5,256,0.5298965400000001,0.6007076640000006,30720
7,256,0.7358651040000002,0.8404068280000009,43008
10,256,1.0495971560000004,1.2081530100000009,61440
15,256,1.5581578680000006,1.8006730919999994,92160
20,256,2.072350899999998,2.4022354880000014,122880
1,512,0.3470589839999998,0.45391835399999997,12288
2,512,0.6871503620000009,0.9179291779999993,24576
3,512,0.9846269820000004,1.3304436659999985,36864
5,512,1.6593546960000007,2.2343115200000025,61440
7,512,2.2870991179999995,3.108355002000001,86016
10,512,3.2704261720000023,4.44331534,122880
15,512,4.949586692000001,6.717132548000007,184320
20,512,6.566058455999999,8.898680064,245760
1,1024,0.42488234200000036,0.3389743480000001,24576
2,1024,0.7840331859999995,0.6362253019999997,49152
3,1024,1.2047590600000004,0.8155976639999999,73728
5,1024,2.1991167559999982,1.3573468919999991,122880
7,1024,2.9791379119999997,1.794861863999999,172032
10,1024,4.250565607999998,2.6499238300000023,245760
15,1024,6.4824989399999895,3.6295203019999995,368640
20,1024,8.711796147999996,5.396068058,491520
